y(t-1),y(t-2),y(t-3),y(t)
29,31,32,27
27,29,31,26
26,27,29,25
25,26,27,25
25,25,26,25
25,25,25,27
27,25,25,34
34,27,25,30
30,34,27,29
29,30,34,29
29,29,30,28
28,29,29,28
28,28,29,28
28,28,28,28
28,28,28,27
27,28,28,24
24,27,28,25
25,24,27,27
27,25,24,27
27,27,25,27
27,27,27,29
29,27,27,30
30,29,27,51
51,30,29,32
32,51,30,29
29,32,51,34
34,29,32,35
35,34,29,684
684,35,34,364
364,684,35,634
634,364,684,551
551,634,364,405
405,551,634,1310
1310,405,551,363
363,1310,405,261
261,363,1310,224
224,261,363,244
244,224,261,207
207,244,224,170
170,207,244,138
138,170,207,170
170,138,170,126
126,170,138,126
126,126,170,122
122,126,126,106
106,122,126,97
97,106,122,88
88,97,106,78
78,88,97,65
65,78,88,52
52,65,78,104
104,52,65,100
100,104,52,106
106,100,104,77
77,106,100,53
53,77,106,39
39,53,77,32
32,39,53,29
29,32,39,165
165,29,32,85
85,165,29,63
63,85,165,45
45,63,85,38
38,45,63,28
28,38,45,25
25,28,38,17
17,25,28,15
15,17,25,12
12,15,17,8.9
8.9,12,15,6.2
6.2,8.9,12,180
180,6.2,8.9,75
75,180,6.2,56
56,75,180,43
43,56,75,59
59,43,56,58
58,59,43,80
80,58,59,73
73,80,58,1990
1990,73,80,7920
7920,1990,73,9610
9610,7920,1990,3180
3180,9610,7920,1770
1770,3180,9610,1170
1170,1770,3180,866
866,1170,1770,675
675,866,1170,560
560,675,866,469
469,560,675,411
411,469,560,385
385,411,469,343
343,385,411,308
308,343,385,283
283,308,343,267
267,283,308,247
247,267,283,221
221,247,267,199
199,221,247,183
183,199,221,172
172,183,199,156
156,172,183,145
145,156,172,138
138,145,156,134
134,138,145,125
125,134,138,120
120,125,134,114
114,120,125,110
110,114,120,109
109,110,114,103
103,109,110,101
101,103,109,136
136,101,103,156
156,136,101,157
157,156,136,151
151,157,156,154
154,151,157,157
157,154,151,154
154,157,154,151
151,154,157,148
148,151,154,149
149,148,151,146
146,149,148,143
143,146,149,139
139,143,146,142
142,139,143,140
140,142,139,135
135,140,142,126
126,135,140,125
125,126,135,121
121,125,126,120
120,121,125,153
153,120,121,226
226,153,120,153
153,226,153,155
155,153,226,152
152,155,153,152
152,152,155,153
153,152,152,150
150,153,152,147
147,150,153,143
143,147,150,140
140,143,147,133
133,140,143,124
124,133,140,119
119,124,133,114
114,119,124,105
105,114,119,93
93,105,114,88
88,93,105,91
91,88,93,96
96,91,88,101
101,96,91,96
96,101,96,91
91,96,101,96
96,91,96,101
101,96,91,109
109,101,96,112
112,109,101,117
117,112,109,422
422,117,112,477
477,422,117,406
406,477,422,338
338,406,477,290
290,338,406,262
262,290,338,240
240,262,290,228
228,240,262,220
220,228,240,213
213,220,228,220
220,213,220,210
210,220,213,230
230,210,220,248
248,230,210,247
247,248,230,252
252,247,248,247
247,252,247,234
234,247,252,227
227,234,247,217
217,227,234,210
210,217,227,202
202,210,217,201
201,202,210,207
207,201,202,219
219,207,201,234
234,219,207,236
236,234,219,238
238,236,234,246
246,238,236,261
261,246,238,267
267,261,246,256
256,267,261,244
244,256,267,232
232,244,256,223
223,232,244,212
212,223,232,204
204,212,223,199
199,204,212,193
193,199,204,187
187,193,199,184
184,187,193,178
178,184,187,170
170,178,184,170
170,170,178,172
172,170,170,174
174,172,170,174
174,174,172,172
172,174,174,174
174,172,174,173
173,174,172,171
171,173,174,171
171,171,173,171
171,171,171,170
170,171,171,164
164,170,171,159
159,164,170,164
164,159,164,169
169,164,159,174
174,169,164,180
180,174,169,182
182,180,174,192
192,182,180,210
210,192,182,225
225,210,192,249
249,225,210,266
266,249,225,270
270,266,249,272
272,270,266,268
268,272,270,267
267,268,272,276
276,267,268,293
293,276,267,326
326,293,276,409
409,326,293,679
679,409,326,699
699,679,409,579
579,699,679,596
596,579,699,654
654,596,579,698
698,654,596,624
624,698,654,575
575,624,698,549
549,575,624,513
513,549,575,489
489,513,549,466
466,489,513,469
469,466,489,504
504,469,466,552
552,504,469,585
585,552,504,569
569,585,552,537
537,569,585,505
505,537,569,493
493,505,537,509
509,493,505,594
594,509,493,703
703,594,509,896
896,703,594,1030
1030,896,703,1180
1180,1030,896,1370
1370,1180,1030,1190
1190,1370,1180,1040
1040,1190,1370,1020
1020,1040,1190,1080
1080,1020,1040,1200
1200,1080,1020,1310
1310,1200,1080,1430
1430,1310,1200,1880
1880,1430,1310,1780
1780,1880,1430,1640
1640,1780,1880,1500
1500,1640,1780,1330
1330,1500,1640,1190
1190,1330,1500,1140
1140,1190,1330,1090
1090,1140,1190,971
971,1090,1140,894
894,971,1090,853
853,894,971,828
828,853,894,800
800,828,853,744
744,800,828,681
681,744,800,635
635,681,744,653
653,635,681,680
680,653,635,665
665,680,653,638
638,665,680,607
607,638,665,578
578,607,638,520
520,578,607,476
476,520,578,434
434,476,520,402
402,434,476,382
382,402,434,392
392,382,402,413
413,392,382,457
457,413,392,505
505,457,413,514
514,505,457,484
484,514,505,421
421,484,514,381
381,421,484,354
354,381,421,335
335,354,381,314
314,335,354,326
326,314,335,327
327,326,314,330
330,327,326,330
330,330,327,324
324,330,330,316
316,324,330,305
305,316,324,291
291,305,316,270
270,291,305,249
249,270,291,237
237,249,270,236
236,237,249,224
224,236,237,219
219,224,236,205
205,219,224,197
197,205,219,193
193,197,205,177
177,193,197,169
169,177,193,171
171,169,177,175
175,171,169,171
171,175,171,164
164,171,175,151
151,164,171,139
139,151,164,128
128,139,151,117
117,128,139,114
114,117,128,110
110,114,117,103
103,110,114,95
95,103,110,91
91,95,103,88
88,91,95,86
86,88,91,82
82,86,88,79
79,82,86,76
76,79,82,87
87,76,79,91
91,87,76,85
85,91,87,80
80,85,91,78
78,80,85,76
76,78,80,73
73,76,78,69
69,73,76,65
65,69,73,63
63,65,69,55
55,63,65,48
48,55,63,45
45,48,55,43
43,45,48,41
41,43,45,40
40,41,43,38
38,40,41,36
36,38,40,36
36,36,38,37
37,36,36,38
38,37,36,40
40,38,37,38
38,40,38,36
36,38,40,38
38,36,38,48
48,38,36,46
46,48,38,52
52,46,48,44
44,52,46,47
47,44,52,111
111,47,44,105
105,111,47,95
95,105,111,84
84,95,105,73
73,84,95,66
66,73,84,67
67,66,73,55
55,67,66,46
46,55,67,37
37,46,55,35
35,37,46,383
383,35,37,1010
1010,383,35,595
595,1010,383,393
393,595,1010,354
354,393,595,268
268,354,393,234
234,268,354,252
252,234,268,227
